store_name,store_addr,address_code,store_city,store_town,store_dist
반석,"대전광역시 유성구 반석서로 9 (지족동)",30200,대전광역시,유성구,
반송,"경기도 화성시 동탄반송3길 64 (반송동)",41590,경기도,화성시,
반여,"부산광역시 해운대구 선수촌로 194 (반여동)",26350,부산광역시,해운대구,
밤가시,"경기도 고양시 일산동구 산두로 179 (정발산동)",41285,경기도,고양시,일산동구
방림,"광주광역시 남구 방림로 28 (방림동)",29155,광주광역시,남구,
방배점,"서울특별시 서초구 도구로 109(방배동)",11650,서울특별시,서초구,
방이점,"서울특별시 송파구 위례성대로12길 38(방이동)",11710,서울특별시,송파구,
백제고분로,"서울특별시 송파구 오금로 143 (방이동)",11710,서울특별시,송파구,
번동,"서울특별시 강북구 월계로 195",11305,서울특별시,강북구,
범어,"대구광역시 수성구 국채보상로 858",27260,대구광역시,수성구,
법흥,"경상북도 안동시 경동로 741",47170,경상북도,안동시,
병점,"경기도 화성시 효행로 1017-1(진안동)",41590,경기도,화성시,
보정,"경기도 용인시 기흥구 죽현로 8-20(보정동)",41463,경기도,용인시,기흥구
봉곡,"경상북도 구미시 봉곡남로 68(봉곡동)",47190,경상북도,구미시,
봉담,"경기도 화성시 삼천병마로 1346",41590,경기도,화성시,
봉수대로,"인천광역시 서구 봉수대로 336",28260,인천광역시,서구,
부개,"인천광역시 부평구 충선로 105 (부개동)",28237,인천광역시,부평구,
부산강변,"부산광역시 사상구 낙동대로 1274",26530,부산광역시,사상구,
부산신평,"부산광역시 사하구 하신중앙로 166",26380,부산광역시,사하구,
부안,"전라북도 부안군 부안읍 봉서길 19",45800,전라북도,부안군,
부암,"부산광역시 부산진구 백양산로 21,(당감동)",26230,부산광역시,부산진구,
부여,"충청남도 부여군 부여읍 왕릉로 3",44760,충청남도,부여군,
부천여월,"경기도 부천시 오정구 소사로 627 (여 스피드메이트 부천여월점",41190,경기도,부천시,
부천역곡,"경기도 부천시 소사구 경인로 539",41190,경기도,부천시,
부천오정,"경기도 부천시 오정구 석천로 446 (삼정동)",41190,경기도,부천시,
부평,"인천광역시 부평구 원적로 417",28237,인천광역시,부평구,
부평공단,"인천광역시 부평구 부평대로 262",28237,인천광역시,부평구,
부평남부,"인천광역시 부평구 경인로1048",28237,인천광역시,부평구,
